��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4406439,2022-10-12 10:39:27,GOOD,0-4406439,43.07989,5.95983
0-4406439,2022-10-12 10:34:27,GOOD,0-4406439,43.07982,5.96023
0-4406439,2022-10-12 10:29:25,GOOD,0-4406439,43.07972,5.96066
0-4406439,2022-10-12 10:24:27,GOOD,0-4406439,43.07945,5.96111
0-4406439,2022-10-12 10:19:25,GOOD,0-4406439,43.07941,5.96156
0-4406439,2022-10-12 10:14:23,GOOD,0-4406439,43.07924,5.96204
0-4406439,2022-10-12 10:09:57,GOOD,0-4406439,43.079,5.96246
0-4406439,2022-10-12 10:04:25,GOOD,0-4406439,43.07893,5.96296
0-4406439,2022-10-12 09:59:23,GOOD,0-4406439,43.07877,5.96343
0-4406439,2022-10-12 09:54:21,GOOD,0-4406439,43.07862,5.96388
0-4406439,2022-10-12 09:49:20,GOOD,0-4406439,43.07848,5.96433
0-4406439,2022-10-12 09:44:22,GOOD,0-4406439,43.07834,5.96474
0-4406439,2022-10-12 09:39:21,GOOD,0-4406439,43.07822,5.96513
0-4406439,2022-10-12 09:34:23,GOOD,0-4406439,43.07813,5.96549
0-4406439,2022-10-12 09:29:22,GOOD,0-4406439,43.07808,5.96581
0-4406439,2022-10-12 09:24:24,GOOD,0-4406439,43.07804,5.96613
0-4406439,2022-10-12 09:19:23,GOOD,0-4406439,43.078,5.96646
0-4406439,2022-10-12 09:14:28,GOOD,0-4406439,43.07794,5.96684
0-4406439,2022-10-12 09:09:57,GOOD,0-4406439,43.07791,5.96721
0-4406439,2022-10-12 09:04:26,GOOD,0-4406439,43.07788,5.96766
0-4406439,2022-10-12 08:59:24,GOOD,0-4406439,43.07783,5.96809
0-4406439,2022-10-12 08:54:29,GOOD,0-4406439,43.07777,5.96852
0-4406439,2022-10-12 08:49:27,GOOD,0-4406439,43.07768,5.9689
0-4406439,2022-10-12 08:44:24,GOOD,0-4406439,43.07762,5.96931
0-4406439,2022-10-12 08:39:22,GOOD,0-4406439,43.07753,5.96972
0-4406439,2022-10-12 08:34:22,GOOD,0-4406439,43.07746,5.9701
0-4406439,2022-10-12 08:29:19,GOOD,0-4406439,43.07739,5.97047
0-4406439,2022-10-12 08:24:19,GOOD,0-4406439,43.07735,5.97073
0-4406439,2022-10-12 08:19:16,GOOD,0-4406439,43.0773,5.97118
0-4406439,2022-10-12 08:14:16,GOOD,0-4406439,43.07721,5.97152
0-4406439,2022-10-12 08:09:37,GOOD,0-4406439,43.07719,5.97182
0-4406439,2022-10-12 08:04:16,GOOD,0-4406439,43.07684,5.97225
0-4406439,2022-10-12 07:59:13,GOOD,0-4406439,43.07694,5.9724
0-4406439,2022-10-12 07:54:13,GOOD,0-4406439,43.07697,5.97261
0-4406439,2022-10-12 07:49:10,GOOD,0-4406439,43.07719,5.97281
0-4406439,2022-10-12 07:44:10,GOOD,0-4406439,43.07735,5.97116
0-4406439,2022-10-12 07:39:09,GOOD,0-4406439,43.08232,5.95538
0-4406439,2022-10-12 07:34:10,GOOD,0-4406439,43.08664,5.93948
0-4406439,2022-10-12 07:29:09,GOOD,0-4406439,43.08781,5.92457
0-4406439,2022-10-12 07:24:07,GOOD,0-4406439,43.09728,5.91841
0-4406439,2022-10-12 07:19:07,GOOD,0-4406439,43.1038,5.90828
0-4406439,2022-10-12 07:14:05,GOOD,0-4406439,43.10555,5.89472
0-4406439,2022-10-12 07:09:57,GOOD,0-4406439,43.10432,5.88638
