��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4407230,2022-10-12 12:04:25,LOW,0-4407230,43.08582,5.96225
0-4407230,2022-10-12 11:59:24,LOW,0-4407230,43.08512,5.96628
0-4407230,2022-10-12 11:54:26,LOW,0-4407230,43.08493,5.96669
0-4407230,2022-10-12 11:49:29,LOW,0-4407230,43.0847,5.96721
0-4407230,2022-10-12 11:44:28,LOW,0-4407230,43.08452,5.9677
0-4407230,2022-10-12 11:39:30,LOW,0-4407230,43.08434,5.96811
0-4407230,2022-10-12 11:34:29,LOW,0-4407230,43.08416,5.9686
0-4407230,2022-10-12 11:29:32,LOW,0-4407230,43.08397,5.96907
0-4407230,2022-10-12 11:24:29,LOW,0-4407230,43.08379,5.96957
0-4407230,2022-10-12 11:19:29,LOW,0-4407230,43.08362,5.97
0-4407230,2022-10-12 11:14:28,LOW,0-4407230,43.08339,5.97051
0-4407230,2022-10-12 11:09:58,LOW,0-4407230,43.08318,5.97088
0-4407230,2022-10-12 11:04:26,LOW,0-4407230,43.08274,5.97139
0-4407230,2022-10-12 10:59:26,LOW,0-4407230,43.08258,5.97193
0-4407230,2022-10-12 10:54:24,LOW,0-4407230,43.08242,5.97246
0-4407230,2022-10-12 10:49:26,LOW,0-4407230,43.08229,5.97294
0-4407230,2022-10-12 10:44:24,LOW,0-4407230,43.08208,5.97356
0-4407230,2022-10-12 10:39:25,LOW,0-4407230,43.08187,5.97394
0-4407230,2022-10-12 10:34:23,LOW,0-4407230,43.08177,5.97431
0-4407230,2022-10-12 10:29:25,LOW,0-4407230,43.08143,5.97485
0-4407230,2022-10-12 10:24:23,LOW,0-4407230,43.08136,5.97525
0-4407230,2022-10-12 10:19:21,LOW,0-4407230,43.08116,5.9756
0-4407230,2022-10-12 10:14:22,LOW,0-4407230,43.08092,5.97607
0-4407230,2022-10-12 10:09:22,LOW,0-4407230,43.08058,5.97641
0-4407230,2022-10-12 10:04:22,LOW,0-4407230,43.08036,5.97688
0-4407230,2022-10-12 09:59:20,LOW,0-4407230,43.08017,5.97738
0-4407230,2022-10-12 09:54:21,LOW,0-4407230,43.08013,5.9777
0-4407230,2022-10-12 09:49:20,LOW,0-4407230,43.08007,5.978
0-4407230,2022-10-12 09:44:21,LOW,0-4407230,43.07974,5.97847
0-4407230,2022-10-12 09:39:23,LOW,0-4407230,43.07986,5.97836
0-4407230,2022-10-12 09:34:21,LOW,0-4407230,43.07972,5.97894
0-4407230,2022-10-12 09:29:23,LOW,0-4407230,43.07965,5.97924
0-4407230,2022-10-12 09:24:22,LOW,0-4407230,43.07955,5.97955
0-4407230,2022-10-12 09:19:20,LOW,0-4407230,43.07951,5.97978
0-4407230,2022-10-12 09:14:22,LOW,0-4407230,43.07945,5.98008
0-4407230,2022-10-12 09:09:55,LOW,0-4407230,43.07931,5.98049
0-4407230,2022-10-12 09:04:21,LOW,0-4407230,43.07927,5.98058
0-4407230,2022-10-12 08:59:23,LOW,0-4407230,43.07919,5.98083
0-4407230,2022-10-12 08:54:22,LOW,0-4407230,43.07911,5.98103
0-4407230,2022-10-12 08:49:24,LOW,0-4407230,43.07906,5.98124
0-4407230,2022-10-12 08:44:24,LOW,0-4407230,43.07903,5.98152
0-4407230,2022-10-12 08:39:24,LOW,0-4407230,43.07895,5.98173
0-4407230,2022-10-12 08:34:26,LOW,0-4407230,43.07883,5.98199
0-4407230,2022-10-12 08:29:26,LOW,0-4407230,43.07871,5.98225
0-4407230,2022-10-12 08:24:31,LOW,0-4407230,43.07872,5.98253
0-4407230,2022-10-12 08:19:31,LOW,0-4407230,43.07864,5.98279
0-4407230,2022-10-12 08:14:30,LOW,0-4407230,43.07865,5.98304
0-4407230,2022-10-12 08:09:55,LOW,0-4407230,43.07851,5.98354
0-4407230,2022-10-12 08:04:33,LOW,0-4407230,43.07832,5.98399
0-4407230,2022-10-12 07:59:31,LOW,0-4407230,43.07835,5.98422
0-4407230,2022-10-12 07:54:32,LOW,0-4407230,43.07734,5.97223
0-4407230,2022-10-12 07:49:34,LOW,0-4407230,43.07713,5.97276
0-4407230,2022-10-12 07:44:29,LOW,0-4407230,43.07705,5.97208
0-4407230,2022-10-12 07:39:29,LOW,0-4407230,43.08199,5.95654
0-4407230,2022-10-12 07:34:31,LOW,0-4407230,43.08631,5.94056
0-4407230,2022-10-12 07:29:31,LOW,0-4407230,43.08769,5.92545
0-4407230,2022-10-12 07:24:29,LOW,0-4407230,43.09665,5.91869
0-4407230,2022-10-12 07:19:27,LOW,0-4407230,43.10374,5.9091
0-4407230,2022-10-12 07:14:24,LOW,0-4407230,43.10574,5.89545
0-4407230,2022-10-12 07:10:01,LOW,0-4407230,43.10444,5.88644
