��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3152052,2022-10-13 12:43:58,GOOD,0-3152052,43.09039,6.0007
0-3152052,2022-10-13 12:39:00,GOOD,0-3152052,43.08998,6.00002
0-3152052,2022-10-13 12:34:02,GOOD,0-3152052,43.08958,5.99939
0-3152052,2022-10-13 12:29:02,GOOD,0-3152052,43.08919,5.99888
0-3152052,2022-10-13 12:24:03,GOOD,0-3152052,43.08882,5.99834
0-3152052,2022-10-13 12:19:00,GOOD,0-3152052,43.08841,5.99778
0-3152052,2022-10-13 12:14:00,GOOD,0-3152052,43.08804,5.99725
0-3152052,2022-10-13 12:08:58,GOOD,0-3152052,43.08763,5.99675
0-3152052,2022-10-13 12:04:28,GOOD,0-3152052,43.08728,5.99635
0-3152052,2022-10-13 11:58:55,GOOD,0-3152052,43.08698,5.9959
0-3152052,2022-10-13 11:53:53,GOOD,0-3152052,43.08661,5.99538
0-3152052,2022-10-13 11:48:56,GOOD,0-3152052,43.0862,5.99495
0-3152052,2022-10-13 11:43:55,GOOD,0-3152052,43.08574,5.99459
0-3152052,2022-10-13 11:38:58,GOOD,0-3152052,43.08534,5.99418
0-3152052,2022-10-13 11:33:58,GOOD,0-3152052,43.08497,5.99386
0-3152052,2022-10-13 11:28:58,GOOD,0-3152052,43.08457,5.99366
0-3152052,2022-10-13 11:23:58,GOOD,0-3152052,43.08423,5.99357
0-3152052,2022-10-13 11:19:04,GOOD,0-3152052,43.08385,5.99341
0-3152052,2022-10-13 11:14:03,GOOD,0-3152052,43.0835,5.99332
0-3152052,2022-10-13 11:09:04,GOOD,0-3152052,43.08311,5.99321
0-3152052,2022-10-13 11:04:27,GOOD,0-3152052,43.08248,5.99326
0-3152052,2022-10-13 10:59:05,GOOD,0-3152052,43.08226,5.993
0-3152052,2022-10-13 10:54:05,GOOD,0-3152052,43.08183,5.99287
0-3152052,2022-10-13 10:49:06,GOOD,0-3152052,43.08144,5.99272
0-3152052,2022-10-13 10:44:06,GOOD,0-3152052,43.08123,5.99263
0-3152052,2022-10-13 10:39:05,GOOD,0-3152052,43.08105,5.99257
0-3152052,2022-10-13 10:34:07,GOOD,0-3152052,43.08081,5.99248
0-3152052,2022-10-13 10:29:09,GOOD,0-3152052,43.08051,5.99244
0-3152052,2022-10-13 10:24:08,GOOD,0-3152052,43.08009,5.9924
0-3152052,2022-10-13 10:19:08,GOOD,0-3152052,43.07993,5.99236
0-3152052,2022-10-13 10:14:10,GOOD,0-3152052,43.07983,5.99233
0-3152052,2022-10-13 10:09:09,GOOD,0-3152052,43.07962,5.99251
0-3152052,2022-10-13 10:04:28,GOOD,0-3152052,43.07936,5.99266
0-3152052,2022-10-13 09:59:11,GOOD,0-3152052,43.07925,5.9927
0-3152052,2022-10-13 09:54:10,GOOD,0-3152052,43.0791,5.99272
0-3152052,2022-10-13 09:49:11,GOOD,0-3152052,43.0789,5.99289
0-3152052,2022-10-13 09:44:09,GOOD,0-3152052,43.07866,5.99304
0-3152052,2022-10-13 09:39:09,GOOD,0-3152052,43.07858,5.99321
0-3152052,2022-10-13 09:34:11,GOOD,0-3152052,43.07862,5.99341
0-3152052,2022-10-13 09:29:10,GOOD,0-3152052,43.07866,5.99362
0-3152052,2022-10-13 09:24:12,GOOD,0-3152052,43.07874,5.99386
0-3152052,2022-10-13 09:19:15,GOOD,0-3152052,43.0788,5.99407
0-3152052,2022-10-13 09:14:11,GOOD,0-3152052,43.07881,5.99431
0-3152052,2022-10-13 09:09:16,GOOD,0-3152052,43.0788,5.99461
0-3152052,2022-10-13 09:04:41,GOOD,0-3152052,43.07881,5.99482
0-3152052,2022-10-13 08:59:14,GOOD,0-3152052,43.07857,5.99506
0-3152052,2022-10-13 08:54:13,GOOD,0-3152052,43.07854,5.99525
0-3152052,2022-10-13 08:49:14,GOOD,0-3152052,43.07862,5.99551
0-3152052,2022-10-13 08:44:12,GOOD,0-3152052,43.07877,5.99587
0-3152052,2022-10-13 08:39:14,GOOD,0-3152052,43.07909,5.99613
0-3152052,2022-10-13 08:34:16,GOOD,0-3152052,43.07916,5.99637
0-3152052,2022-10-13 08:29:15,GOOD,0-3152052,43.07928,5.99665
0-3152052,2022-10-13 08:24:17,GOOD,0-3152052,43.07941,5.9969
0-3152052,2022-10-13 08:19:16,GOOD,0-3152052,43.07952,5.99718
0-3152052,2022-10-13 08:14:15,GOOD,0-3152052,43.07961,5.99766
0-3152052,2022-10-13 08:09:20,GOOD,0-3152052,43.07971,5.99821
0-3152052,2022-10-13 08:04:38,GOOD,0-3152052,43.07986,5.99869
0-3152052,2022-10-13 07:59:15,GOOD,0-3152052,43.07996,5.99933
0-3152052,2022-10-13 07:54:12,GOOD,0-3152052,43.08015,5.99963
0-3152052,2022-10-13 07:49:15,GOOD,0-3152052,43.07928,5.99965
0-3152052,2022-10-13 07:44:33,GOOD,0-3152052,43.08068,5.98285
0-3152052,2022-10-13 07:39:09,GOOD,0-3152052,43.08365,5.96296
0-3152052,2022-10-13 07:34:09,GOOD,0-3152052,43.08569,5.94448
0-3152052,2022-10-13 07:29:17,GOOD,0-3152052,43.08827,5.92751
0-3152052,2022-10-13 07:24:29,GOOD,0-3152052,43.09583,5.91846
0-3152052,2022-10-13 07:19:14,GOOD,0-3152052,43.10504,5.90899
0-3152052,2022-10-13 07:14:11,GOOD,0-3152052,43.10615,5.89605
0-3152052,2022-10-13 07:09:10,GOOD,0-3152052,43.10427,5.88644
