DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4406439,2022-10-13 11:55:29,GOOD,0-4406439,43.07337,5.97502
,,,,,
0-4406439,2022-10-13 11:50:28,GOOD,0-4406439,43.07339,5.97506
,,,,,
0-4406439,2022-10-13 11:45:30,GOOD,0-4406439,43.07337,5.97506
,,,,,
0-4406439,2022-10-13 11:40:29,GOOD,0-4406439,43.0734,5.97506
,,,,,
0-4406439,2022-10-13 11:35:31,GOOD,0-4406439,43.07343,5.97506
,,,,,
0-4406439,2022-10-13 11:30:33,GOOD,0-4406439,43.07343,5.97512
,,,,,
0-4406439,2022-10-13 11:25:32,GOOD,0-4406439,43.07343,5.97519
,,,,,
0-4406439,2022-10-13 11:20:32,GOOD,0-4406439,43.07343,5.97528
,,,,,
0-4406439,2022-10-13 11:15:33,GOOD,0-4406439,43.07346,5.97536
,,,,,
0-4406439,2022-10-13 11:10:34,GOOD,0-4406439,43.07346,5.97549
,,,,,
0-4406439,2022-10-13 11:05:57,GOOD,0-4406439,43.07347,5.9756
,,,,,
0-4406439,2022-10-13 11:00:35,GOOD,0-4406439,43.07349,5.97575
,,,,,
0-4406439,2022-10-13 10:55:33,GOOD,0-4406439,43.07351,5.97588
,,,,,
0-4406439,2022-10-13 10:50:35,GOOD,0-4406439,43.07356,5.976
,,,,,
0-4406439,2022-10-13 10:45:33,GOOD,0-4406439,43.07362,5.97613
,,,,,
0-4406439,2022-10-13 10:40:34,GOOD,0-4406439,43.07347,5.97635
,,,,,
0-4406439,2022-10-13 10:35:31,GOOD,0-4406439,43.07346,5.97656
,,,,,
0-4406439,2022-10-13 10:30:32,GOOD,0-4406439,43.07352,5.97669
,,,,,
0-4406439,2022-10-13 10:25:30,GOOD,0-4406439,43.0736,5.97678
,,,,,
0-4406439,2022-10-13 10:20:31,GOOD,0-4406439,43.07367,5.97688
,,,,,
0-4406439,2022-10-13 10:15:30,GOOD,0-4406439,43.07376,5.97701
,,,,,
0-4406439,2022-10-13 10:10:31,GOOD,0-4406439,43.07404,5.97701
,,,,,
0-4406439,2022-10-13 10:05:55,GOOD,0-4406439,43.07402,5.97721
,,,,,
0-4406439,2022-10-13 10:00:30,GOOD,0-4406439,43.0742,5.9774
,,,,,
0-4406439,2022-10-13 09:55:32,GOOD,0-4406439,43.07429,5.97761
,,,,,
0-4406439,2022-10-13 09:50:31,GOOD,0-4406439,43.0744,5.97785
,,,,,
0-4406439,2022-10-13 09:45:30,GOOD,0-4406439,43.0745,5.97811
,,,,,
0-4406439,2022-10-13 09:40:26,GOOD,0-4406439,43.07463,5.97836
,,,,,
0-4406439,2022-10-13 09:35:25,GOOD,0-4406439,43.07479,5.9786
,,,,,
0-4406439,2022-10-13 09:30:21,GOOD,0-4406439,43.07494,5.97886
,,,,,
0-4406439,2022-10-13 09:25:19,GOOD,0-4406439,43.07511,5.97907
,,,,,
0-4406439,2022-10-13 09:20:18,GOOD,0-4406439,43.0753,5.97929
,,,,,
0-4406439,2022-10-13 09:15:14,GOOD,0-4406439,43.07547,5.9795
,,,,,
0-4406439,2022-10-13 09:10:13,GOOD,0-4406439,43.07565,5.97972
,,,,,
0-4406439,2022-10-13 09:05:36,GOOD,0-4406439,43.07582,5.97989
,,,,,
0-4406439,2022-10-13 09:00:16,GOOD,0-4406439,43.07576,5.98042
,,,,,
0-4406439,2022-10-13 08:55:15,GOOD,0-4406439,43.0759,5.98064
,,,,,
0-4406439,2022-10-13 08:50:17,GOOD,0-4406439,43.07604,5.98081
,,,,,
0-4406439,2022-10-13 08:45:18,GOOD,0-4406439,43.07617,5.98103
,,,,,
0-4406439,2022-10-13 08:40:19,GOOD,0-4406439,43.07632,5.98124
,,,,,
0-4406439,2022-10-13 08:35:20,GOOD,0-4406439,43.07645,5.9815
,,,,,
0-4406439,2022-10-13 08:30:23,GOOD,0-4406439,43.07659,5.98178
,,,,,
0-4406439,2022-10-13 08:25:24,GOOD,0-4406439,43.07677,5.98203
,,,,,
0-4406439,2022-10-13 08:20:27,GOOD,0-4406439,43.07692,5.98229
,,,,,
0-4406439,2022-10-13 08:10:31,GOOD,0-4406439,43.0772,5.98309
,,,,,
0-4406439,2022-10-13 08:05:54,GOOD,0-4406439,43.07742,5.9833
,,,,,
0-4406439,2022-10-13 08:00:31,GOOD,0-4406439,43.07784,5.98345
,,,,,
0-4406439,2022-10-13 07:55:33,GOOD,0-4406439,43.08032,5.99703
,,,,,
0-4406439,2022-10-13 07:50:31,GOOD,0-4406439,43.07986,6.00147
,,,,,
0-4406439,2022-10-13 07:40:32,GOOD,0-4406439,43.08228,5.96787
,,,,,
0-4406439,2022-10-13 07:35:33,GOOD,0-4406439,43.08492,5.94938
,,,,,
0-4406439,2022-10-13 07:30:31,GOOD,0-4406439,43.08815,5.93154
,,,,,
0-4406439,2022-10-13 07:25:32,GOOD,0-4406439,43.09308,5.91893
,,,,,
0-4406439,2022-10-13 07:20:30,GOOD,0-4406439,43.10381,5.91238
,,,,,
0-4406439,2022-10-13 07:15:27,GOOD,0-4406439,43.10667,5.89871
,,,,,
0-4406439,2022-10-13 07:10:25,GOOD,0-4406439,43.10443,5.88829
