DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4407230,2022-10-13 12:30:04,LOW,0-4407230,43.08085,5.96959
,,,,,
0-4407230,2022-10-13 12:25:07,LOW,0-4407230,43.0825,5.97109
,,,,,
0-4407230,2022-10-13 12:20:03,LOW,0-4407230,43.0812,5.97611
,,,,,
0-4407230,2022-10-13 12:15:05,LOW,0-4407230,43.08103,5.97562
,,,,,
0-4407230,2022-10-13 12:10:31,LOW,0-4407230,43.08083,5.97512
,,,,,
0-4407230,2022-10-13 12:05:10,LOW,0-4407230,43.08058,5.97452
,,,,,
0-4407230,2022-10-13 12:00:10,LOW,0-4407230,43.08038,5.97403
,,,,,
0-4407230,2022-10-13 11:55:09,LOW,0-4407230,43.08011,5.97354
,,,,,
0-4407230,2022-10-13 11:50:11,LOW,0-4407230,43.07987,5.97309
,,,,,
0-4407230,2022-10-13 11:45:12,LOW,0-4407230,43.07962,5.97272
,,,,,
0-4407230,2022-10-13 11:40:14,LOW,0-4407230,43.07946,5.97229
,,,,,
0-4407230,2022-10-13 11:35:13,LOW,0-4407230,43.07931,5.97186
,,,,,
0-4407230,2022-10-13 11:30:15,LOW,0-4407230,43.0792,5.9715
,,,,,
0-4407230,2022-10-13 11:25:15,LOW,0-4407230,43.07909,5.97118
,,,,,
0-4407230,2022-10-13 11:20:17,LOW,0-4407230,43.07896,5.97094
,,,,,
0-4407230,2022-10-13 11:15:15,LOW,0-4407230,43.07878,5.97068
,,,,,
0-4407230,2022-10-13 11:10:37,LOW,0-4407230,43.07862,5.97045
,,,,,
0-4407230,2022-10-13 11:05:15,LOW,0-4407230,43.07845,5.97023
,,,,,
0-4407230,2022-10-13 11:00:16,LOW,0-4407230,43.07827,5.96995
,,,,,
0-4407230,2022-10-13 10:55:15,LOW,0-4407230,43.07805,5.9697
,,,,,
0-4407230,2022-10-13 10:50:17,LOW,0-4407230,43.07788,5.96937
,,,,,
