DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4408436,2022-10-13 11:54:25,LOW,0-4408436,43.07321,5.97626
,,,,,
0-4408436,2022-10-13 11:49:23,LOW,0-4408436,43.07482,5.97783
,,,,,
0-4408436,2022-10-13 11:44:22,LOW,0-4408436,43.07467,5.97759
,,,,,
0-4408436,2022-10-13 11:39:23,LOW,0-4408436,43.07456,5.97727
,,,,,
0-4408436,2022-10-13 11:34:21,LOW,0-4408436,43.07447,5.97699
,,,,,
0-4408436,2022-10-13 11:29:23,LOW,0-4408436,43.07439,5.97678
,,,,,
0-4408436,2022-10-13 11:24:21,LOW,0-4408436,43.07431,5.97656
,,,,,
0-4408436,2022-10-13 11:19:23,LOW,0-4408436,43.07418,5.97639
,,,,,
0-4408436,2022-10-13 11:14:23,LOW,0-4408436,43.07404,5.97626
,,,,,
0-4408436,2022-10-13 11:09:19,LOW,0-4408436,43.07389,5.97618
,,,,,
0-4408436,2022-10-13 11:04:53,LOW,0-4408436,43.07378,5.97615
,,,,,
0-4408436,2022-10-13 10:59:21,LOW,0-4408436,43.0736,5.97607
,,,,,
0-4408436,2022-10-13 10:54:19,LOW,0-4408436,43.07347,5.97603
,,,,,
0-4408436,2022-10-13 10:49:21,LOW,0-4408436,43.0734,5.97594
,,,,,
0-4408436,2022-10-13 10:44:19,LOW,0-4408436,43.07331,5.97588
,,,,,
0-4408436,2022-10-13 10:39:20,LOW,0-4408436,43.07323,5.97583
,,,,,
0-4408436,2022-10-13 10:34:22,LOW,0-4408436,43.07321,5.97577
,,,,,
0-4408436,2022-10-13 10:29:20,LOW,0-4408436,43.07314,5.97573
,,,,,
0-4408436,2022-10-13 10:24:21,LOW,0-4408436,43.0731,5.9757
,,,,,
0-4408436,2022-10-13 10:19:20,LOW,0-4408436,43.07311,5.97562
,,,,,
0-4408436,2022-10-13 10:14:17,LOW,0-4408436,43.07311,5.97553
,,,,,
0-4408436,2022-10-13 10:09:17,LOW,0-4408436,43.07309,5.97555
,,,,,
0-4408436,2022-10-13 10:04:39,LOW,0-4408436,43.07304,5.97564
,,,,,
0-4408436,2022-10-13 09:59:16,LOW,0-4408436,43.07299,5.97579
,,,,,
0-4408436,2022-10-13 09:54:13,LOW,0-4408436,43.07301,5.97596
,,,,,
0-4408436,2022-10-13 09:49:11,LOW,0-4408436,43.07298,5.9762
,,,,,
0-4408436,2022-10-13 09:44:12,LOW,0-4408436,43.07302,5.97648
,,,,,
0-4408436,2022-10-13 09:39:13,LOW,0-4408436,43.07307,5.97676
,,,,,
0-4408436,2022-10-13 09:34:12,LOW,0-4408436,43.07313,5.97706
,,,,,
0-4408436,2022-10-13 09:29:13,LOW,0-4408436,43.07325,5.9774
,,,,,
0-4408436,2022-10-13 09:24:11,LOW,0-4408436,43.07339,5.97774
,,,,,
0-4408436,2022-10-13 09:19:13,LOW,0-4408436,43.07359,5.97806
,,,,,
0-4408436,2022-10-13 09:14:11,LOW,0-4408436,43.07376,5.97836
,,,,,
0-4408436,2022-10-13 09:09:12,LOW,0-4408436,43.07398,5.97864
,,,,,
0-4408436,2022-10-13 09:04:27,LOW,0-4408436,43.07417,5.97897
,,,,,
0-4408436,2022-10-13 08:59:10,LOW,0-4408436,43.0745,5.97918
,,,,,
0-4408436,2022-10-13 08:54:08,LOW,0-4408436,43.07478,5.97946
,,,,,
0-4408436,2022-10-13 08:49:08,LOW,0-4408436,43.07505,5.97976
,,,,,
0-4408436,2022-10-13 08:44:06,LOW,0-4408436,43.07534,5.98006
,,,,,
0-4408436,2022-10-13 08:39:07,LOW,0-4408436,43.07565,5.9804
,,,,,
0-4408436,2022-10-13 08:34:05,LOW,0-4408436,43.07592,5.98079
,,,,,
0-4408436,2022-10-13 08:29:07,LOW,0-4408436,43.07623,5.98118
,,,,,
0-4408436,2022-10-13 08:24:05,LOW,0-4408436,43.07658,5.9815
,,,,,
0-4408436,2022-10-13 08:19:07,LOW,0-4408436,43.07688,5.98188
,,,,,
0-4408436,2022-10-13 08:14:05,LOW,0-4408436,43.07717,5.98229
,,,,,
0-4408436,2022-10-13 08:09:06,LOW,0-4408436,43.07748,5.98272
,,,,,
0-4408436,2022-10-13 08:04:26,LOW,0-4408436,43.07766,5.98313
,,,,,
0-4408436,2022-10-13 07:59:06,LOW,0-4408436,43.07796,5.98472
,,,,,
0-4408436,2022-10-13 07:54:06,LOW,0-4408436,43.07993,5.99948
,,,,,
0-4408436,2022-10-13 07:49:06,LOW,0-4408436,43.0792,5.99948
,,,,,
0-4408436,2022-10-13 07:44:08,LOW,0-4408436,43.08043,5.98111
,,,,,
0-4408436,2022-10-13 07:39:06,LOW,0-4408436,43.08335,5.96262
,,,,,
0-4408436,2022-10-13 07:34:07,LOW,0-4408436,43.08559,5.94416
,,,,,
0-4408436,2022-10-13 07:29:09,LOW,0-4408436,43.08766,5.92687
,,,,,
0-4408436,2022-10-13 07:24:07,LOW,0-4408436,43.09642,5.91813
,,,,,
0-4408436,2022-10-13 07:19:06,LOW,0-4408436,43.10533,5.9085
,,,,,
0-4408436,2022-10-13 07:14:05,LOW,0-4408436,43.1062,5.89558
,,,,,
0-4408436,2022-10-13 07:09:00,LOW,0-4408436,43.10439,5.88601
,,,,,
0-4408436,2022-10-13 07:04:29,LOW,0-4408436,43.10526,5.88586
