DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4410119,2022-10-13 12:30:43,GOOD,0-4410119,43.08086,5.97023
,,,,,
0-4410119,2022-10-13 12:25:41,GOOD,0-4410119,43.08093,5.96963
,,,,,
0-4410119,2022-10-13 12:20:41,GOOD,0-4410119,43.08086,5.9691
,,,,,
0-4410119,2022-10-13 12:16:06,GOOD,0-4410119,43.08075,5.9686
,,,,,
0-4410119,2022-10-13 12:10:40,GOOD,0-4410119,43.0806,5.96809
,,,,,
0-4410119,2022-10-13 12:05:41,GOOD,0-4410119,43.0804,5.96759
,,,,,
0-4410119,2022-10-13 12:00:42,GOOD,0-4410119,43.08022,5.96712
,,,,,
0-4410119,2022-10-13 11:55:40,GOOD,0-4410119,43.08003,5.96671
,,,,,
0-4410119,2022-10-13 11:50:39,GOOD,0-4410119,43.07977,5.96635
,,,,,
0-4410119,2022-10-13 11:45:41,GOOD,0-4410119,43.07951,5.96603
,,,,,
0-4410119,2022-10-13 11:40:40,GOOD,0-4410119,43.07919,5.96573
,,,,,
0-4410119,2022-10-13 11:35:41,GOOD,0-4410119,43.07888,5.9654
,,,,,
0-4410119,2022-10-13 11:30:40,GOOD,0-4410119,43.07856,5.96519
,,,,,
0-4410119,2022-10-13 11:25:39,GOOD,0-4410119,43.07826,5.96504
,,,,,
0-4410119,2022-10-13 11:20:40,GOOD,0-4410119,43.07793,5.96489
,,,,,
0-4410119,2022-10-13 11:15:56,GOOD,0-4410119,43.0775,5.96495
,,,,,
0-4410119,2022-10-13 11:10:40,GOOD,0-4410119,43.07721,5.96491
,,,,,
0-4410119,2022-10-13 11:05:41,GOOD,0-4410119,43.07687,5.96502
,,,,,
0-4410119,2022-10-13 11:00:40,GOOD,0-4410119,43.07655,5.96519
,,,,,
0-4410119,2022-10-13 10:55:41,GOOD,0-4410119,43.07626,5.9654
,,,,,
0-4410119,2022-10-13 10:50:40,GOOD,0-4410119,43.076,5.9656
,,,,,
0-4410119,2022-10-13 10:45:42,GOOD,0-4410119,43.07577,5.96583
,,,,,
0-4410119,2022-10-13 10:40:42,GOOD,0-4410119,43.0756,5.966
,,,,,
0-4410119,2022-10-13 10:35:43,GOOD,0-4410119,43.07543,5.96626
,,,,,
0-4410119,2022-10-13 10:30:41,GOOD,0-4410119,43.07531,5.96646
,,,,,
0-4410119,2022-10-13 10:25:43,GOOD,0-4410119,43.07516,5.96667
,,,,,
0-4410119,2022-10-13 10:20:44,GOOD,0-4410119,43.07507,5.96691
,,,,,
0-4410119,2022-10-13 10:16:08,GOOD,0-4410119,43.07499,5.96708
,,,,,
0-4410119,2022-10-13 10:10:47,GOOD,0-4410119,43.07491,5.9674
,,,,,
0-4410119,2022-10-13 10:05:50,GOOD,0-4410119,43.07491,5.9677
,,,,,
0-4410119,2022-10-13 10:00:51,GOOD,0-4410119,43.07495,5.96798
,,,,,
0-4410119,2022-10-13 09:55:54,GOOD,0-4410119,43.07497,5.9683
,,,,,
0-4410119,2022-10-13 09:50:53,GOOD,0-4410119,43.07502,5.96862
,,,,,
0-4410119,2022-10-13 09:45:54,GOOD,0-4410119,43.0751,5.96897
,,,,,
0-4410119,2022-10-13 09:40:53,GOOD,0-4410119,43.07523,5.96929
,,,,,
0-4410119,2022-10-13 09:35:55,GOOD,0-4410119,43.07537,5.96961
,,,,,
0-4410119,2022-10-13 09:30:54,GOOD,0-4410119,43.07557,5.96991
,,,,,
0-4410119,2022-10-13 09:25:56,GOOD,0-4410119,43.07576,5.97021
,,,,,
0-4410119,2022-10-13 09:20:54,GOOD,0-4410119,43.07597,5.97051
,,,,,
0-4410119,2022-10-13 09:16:26,GOOD,0-4410119,43.07608,5.97083
,,,,,
0-4410119,2022-10-13 09:10:55,GOOD,0-4410119,43.07618,5.97124
,,,,,
0-4410119,2022-10-13 09:05:54,GOOD,0-4410119,43.07634,5.97156
,,,,,
0-4410119,2022-10-13 09:00:55,GOOD,0-4410119,43.07647,5.97193
,,,,,
0-4410119,2022-10-13 08:55:54,GOOD,0-4410119,43.07668,5.97223
,,,,,
0-4410119,2022-10-13 08:50:56,GOOD,0-4410119,43.0768,5.97251
,,,,,
0-4410119,2022-10-13 08:45:54,GOOD,0-4410119,43.077,5.97274
,,,,,
0-4410119,2022-10-13 08:40:56,GOOD,0-4410119,43.07713,5.97294
,,,,,
0-4410119,2022-10-13 08:35:55,GOOD,0-4410119,43.07732,5.97322
,,,,,
0-4410119,2022-10-13 08:30:56,GOOD,0-4410119,43.07743,5.97347
,,,,,
0-4410119,2022-10-13 08:25:52,GOOD,0-4410119,43.07759,5.97371
,,,,,
0-4410119,2022-10-13 08:20:54,GOOD,0-4410119,43.07761,5.97384
,,,,,
0-4410119,2022-10-13 08:16:25,GOOD,0-4410119,43.07645,5.97197
,,,,,
0-4410119,2022-10-13 08:01:23,GOOD,0-4410119,43.07777,5.98339
,,,,,
0-4410119,2022-10-13 07:56:23,GOOD,0-4410119,43.07971,5.99427
,,,,,
0-4410119,2022-10-13 07:51:23,GOOD,0-4410119,43.07988,6.00054
,,,,,
0-4410119,2022-10-13 07:46:23,GOOD,0-4410119,43.07975,5.98964
,,,,,
0-4410119,2022-10-13 07:41:28,GOOD,0-4410119,43.08164,5.97113
,,,,,
0-4410119,2022-10-13 07:36:27,GOOD,0-4410119,43.08446,5.95272
,,,,,
0-4410119,2022-10-13 07:31:30,GOOD,0-4410119,43.08821,5.93506
,,,,,
0-4410119,2022-10-13 07:26:30,GOOD,0-4410119,43.09088,5.91985
,,,,,
0-4410119,2022-10-13 07:21:29,GOOD,0-4410119,43.10238,5.91457
,,,,,
0-4410119,2022-10-13 07:16:29,GOOD,0-4410119,43.10681,5.90103
