Flotteur_ID;Deployment_day;Deployment_Time (UTC);Deployment_long;Deployment_lat;End_day;End_Time (UTC);End_longitude;End_latitude;Status;Details;Drogue_depth;Drogue_status
3152052;2021-10-12';08:54;5°57,559';43°4,797';2021-10-12';09:44;5.95227°;43.07843°;OK;Echoué;0.6;OK
3153368;2021-10-12';08:59;5°58,214';43°4,804';2021-10-12';11:41;5°57,39';43°4,81';OK;;0.6;OK
386;2021-10-12';08:59;5°58,214';43°4,804';2021-10-12';11:41;5°57,39';43°4,81';OK;;1;OK
391;2021-10-12';09:07;5°59,112';43°4,800';2021-10-12';12:42;5°58,60';43°5,320';OK;;1;OK
2692110;2021-10-12';09:13;6°0,017';43°4,794';2021-10-12';12:01;5°59,942';43°4,927';OK;;0.6;OK
390;2021-10-12';09:13;6°0,017';43°4,7911';2021-10-12';12:01;5°59,942';43°4,927';OK;;1;OK
3153611;2021-10-12';09:19;6°0,658';43°4,803';2021-10-12';12:08;5°0,437';43°4,645';OK;;0.6;OK
382;2021-10-12';08:31;5°57,21';43°5,589';2021-10-12';12:36;5°56,829';43°5,796';OK;No data after 9AM;1;OK
